cell #, vertex #, lat, lon
001, 01, 30.125000, -115.791672
001, 02, 30.208332, -115.791672
001, 03, 30.291668, -115.791672
001, 04, 30.375000, -115.791672
001, 05, 30.375000, -115.875000
001, 06, 30.333334, -115.964332
001, 07, 30.285667, -115.916664
001, 08, 30.250000, -115.883045
001, 09, 30.166666, -115.880999
001, 10, 30.083334, -115.880999
001, 11, 30.044954, -115.833336
001, 12, 30.125000, -115.791672
002, 01, 30.375000, -115.875000
002, 02, 30.458332, -115.875000
002, 03, 30.458332, -115.958328
002, 04, 30.458332, -116.041672
002, 05, 30.541668, -116.041672
002, 06, 30.500000, -116.130999
002, 07, 30.416666, -116.133045
002, 08, 30.376957, -116.083336
002, 09, 30.366955, -116.000000
002, 10, 30.333334, -115.964332
002, 11, 30.375000, -115.875000
003, 01, 30.541668, -116.041672
003, 02, 30.625000, -116.041672
003, 03, 30.708332, -116.041672
003, 04, 30.791668, -116.041672
003, 05, 30.875000, -116.041672
003, 06, 30.785667, -116.166664
003, 07, 30.750000, -116.133045
003, 08, 30.666666, -116.130999
003, 09, 30.583334, -116.134996
003, 10, 30.500000, -116.130999
003, 11, 30.541668, -116.041672
004, 01, 30.875000, -116.041672
004, 02, 30.875000, -116.125000
004, 03, 30.875000, -116.208328
004, 04, 30.958332, -116.208328
004, 05, 30.958332, -116.291672
004, 06, 31.000000, -116.380999
004, 07, 30.916666, -116.387800
004, 08, 30.865004, -116.333336
004, 09, 30.833334, -116.297668
004, 10, 30.794148, -116.250000
004, 11, 30.785667, -116.166664
004, 12, 30.875000, -116.041672
005, 01, 30.958332, -116.291672
005, 02, 31.041668, -116.291672
005, 03, 31.125000, -116.291672
005, 04, 31.208332, -116.291672
005, 05, 31.208332, -116.375000
005, 06, 31.291668, -116.375000
005, 07, 31.250000, -116.467763
005, 08, 31.166666, -116.464332
005, 09, 31.119000, -116.416664
005, 10, 31.083334, -116.380999
005, 11, 31.000000, -116.380999
005, 12, 30.958332, -116.291672
006, 01, 31.291668, -116.375000
006, 02, 31.375000, -116.375000
006, 03, 31.375000, -116.458328
006, 04, 31.458332, -116.458328
006, 05, 31.458332, -116.541672
006, 06, 31.416666, -116.634430
006, 07, 31.366955, -116.583336
006, 08, 31.333334, -116.547668
006, 09, 31.284255, -116.500000
006, 10, 31.250000, -116.467763
006, 11, 31.291668, -116.375000
007, 01, 31.458332, -116.541672
007, 02, 31.541668, -116.541672
007, 03, 31.541668, -116.625000
007, 04, 31.625000, -116.625000
007, 05, 31.708332, -116.625000
007, 06, 31.666666, -116.714332
007, 07, 31.583334, -116.714332
007, 08, 31.500000, -116.714332
007, 09, 31.450921, -116.666664
007, 10, 31.416666, -116.634430
007, 11, 31.458332, -116.541672
008, 01, 31.708332, -116.625000
008, 02, 31.791668, -116.625000
008, 03, 31.875000, -116.625000
008, 04, 31.958332, -116.625000
008, 05, 31.958332, -116.708328
008, 06, 31.958332, -116.791672
008, 07, 31.916666, -116.880999
008, 08, 31.879051, -116.833336
008, 09, 31.869000, -116.750000
008, 10, 31.833334, -116.714332
008, 11, 31.750000, -116.717763
008, 12, 31.666666, -116.714332
008, 13, 31.708332, -116.625000
009, 01, 31.958332, -116.791672
009, 02, 32.041664, -116.791672
009, 03, 32.041664, -116.875000
009, 04, 32.125000, -116.875000
009, 05, 32.208336, -116.875000
009, 06, 32.166668, -116.967763
009, 07, 32.083332, -116.971133
009, 08, 32.000000, -116.964332
009, 09, 31.952333, -116.916664
009, 10, 31.916666, -116.880999
009, 11, 31.958332, -116.791672
010, 01, 32.208336, -116.875000
010, 02, 32.291664, -116.875000
010, 03, 32.291664, -116.958328
010, 04, 32.291664, -117.041672
010, 05, 32.375000, -117.041672
010, 06, 32.333332, -117.130999
010, 07, 32.250000, -117.130999
010, 08, 32.211621, -117.083336
010, 09, 32.200922, -117.000000
010, 10, 32.166668, -116.967763
010, 11, 32.208336, -116.875000
011, 01, 32.375000, -117.041672
011, 02, 32.458336, -117.041672
011, 03, 32.458336, -117.125000
011, 04, 32.541664, -117.125000
011, 05, 32.625000, -117.125000
011, 06, 32.583332, -117.221133
011, 07, 32.500000, -117.217266
011, 08, 32.416668, -117.215744
011, 09, 32.369000, -117.166664
011, 10, 32.333332, -117.130999
011, 11, 32.375000, -117.041672
012, 01, 32.625000, -117.125000
012, 02, 32.708336, -117.125000
012, 03, 32.708336, -117.208328
012, 04, 32.708336, -117.291672
012, 05, 32.791664, -117.291672
012, 06, 32.750000, -117.383933
012, 07, 32.666668, -117.387800
012, 08, 32.623331, -117.333336
012, 09, 32.612199, -117.250000
012, 10, 32.583332, -117.221133
012, 11, 32.625000, -117.125000
013, 01, 32.791664, -117.291672
013, 02, 32.875000, -117.291672
013, 03, 32.958336, -117.291672
013, 04, 33.041664, -117.291672
013, 05, 33.125000, -117.291672
013, 06, 33.083332, -117.382411
013, 07, 33.000000, -117.385919
013, 08, 32.916668, -117.383933
013, 09, 32.833332, -117.385919
013, 10, 32.750000, -117.383933
013, 11, 32.791664, -117.291672
014, 01, 33.125000, -117.291672
014, 02, 33.208336, -117.291672
014, 03, 33.208336, -117.375000
014, 04, 33.291664, -117.375000
014, 05, 33.291664, -117.458328
014, 06, 33.250000, -117.552588
014, 07, 33.197415, -117.500000
014, 08, 33.166668, -117.467266
014, 09, 33.117588, -117.416664
014, 10, 33.083332, -117.382411
014, 11, 33.125000, -117.291672
015, 01, 33.291664, -117.458328
015, 02, 33.375000, -117.458328
015, 03, 33.375000, -117.541672
015, 04, 33.458336, -117.541672
015, 05, 33.458336, -117.625000
015, 06, 33.416668, -117.717266
015, 07, 33.366066, -117.666664
015, 08, 33.333332, -117.635919
015, 09, 33.280747, -117.583336
