cell #, vertex #, lat, lon
001, 01, 30.125000, -115.791672
001, 02, 30.125000, -115.875000
001, 03, 30.041668, -115.875000
001, 04, 30.041668, -115.791672
001, 05, 30.125000, -115.791672
002, 01, 30.208332, -115.791672
002, 02, 30.208332, -115.875000
002, 03, 30.125000, -115.875000
002, 04, 30.125000, -115.791672
002, 05, 30.208332, -115.791672
003, 01, 30.291668, -115.791672
003, 02, 30.291668, -115.875000
003, 03, 30.208332, -115.875000
003, 04, 30.208332, -115.791672
003, 05, 30.291668, -115.791672
004, 01, 30.375000, -115.791672
004, 02, 30.375000, -115.875000
004, 03, 30.291668, -115.875000
004, 04, 30.291668, -115.791672
004, 05, 30.375000, -115.791672
005, 01, 30.375000, -115.875000
005, 02, 30.375000, -115.958328
005, 03, 30.291668, -115.958328
005, 04, 30.291668, -115.875000
005, 05, 30.375000, -115.875000
006, 01, 30.458332, -115.875000
006, 02, 30.458332, -115.958328
006, 03, 30.375000, -115.958328
006, 04, 30.375000, -115.875000
006, 05, 30.458332, -115.875000
007, 01, 30.458332, -115.958328
007, 02, 30.458332, -116.041672
007, 03, 30.375000, -116.041672
007, 04, 30.375000, -115.958328
007, 05, 30.458332, -115.958328
008, 01, 30.458332, -116.041672
008, 02, 30.458332, -116.125000
008, 03, 30.375000, -116.125000
008, 04, 30.375000, -116.041672
008, 05, 30.458332, -116.041672
009, 01, 30.541668, -116.041672
009, 02, 30.541668, -116.125000
009, 03, 30.458332, -116.125000
009, 04, 30.458332, -116.041672
009, 05, 30.541668, -116.041672
010, 01, 30.625000, -116.041672
010, 02, 30.625000, -116.125000
010, 03, 30.541668, -116.125000
010, 04, 30.541668, -116.041672
010, 05, 30.625000, -116.041672
011, 01, 30.708332, -116.041672
011, 02, 30.708332, -116.125000
011, 03, 30.625000, -116.125000
011, 04, 30.625000, -116.041672
011, 05, 30.708332, -116.041672
012, 01, 30.791668, -116.041672
012, 02, 30.791668, -116.125000
012, 03, 30.708332, -116.125000
012, 04, 30.708332, -116.041672
012, 05, 30.791668, -116.041672
013, 01, 30.875000, -116.041672
013, 02, 30.875000, -116.125000
013, 03, 30.791668, -116.125000
013, 04, 30.791668, -116.041672
013, 05, 30.875000, -116.041672
014, 01, 30.875000, -116.125000
014, 02, 30.875000, -116.208328
014, 03, 30.791668, -116.208328
014, 04, 30.791668, -116.125000
014, 05, 30.875000, -116.125000
015, 01, 30.875000, -116.208328
015, 02, 30.875000, -116.291672
015, 03, 30.791668, -116.291672
015, 04, 30.791668, -116.208328
015, 05, 30.875000, -116.208328
016, 01, 30.958332, -116.208328
016, 02, 30.958332, -116.291672
016, 03, 30.875000, -116.291672
016, 04, 30.875000, -116.208328
016, 05, 30.958332, -116.208328
017, 01, 30.958332, -116.291672
017, 02, 30.958332, -116.375000
017, 03, 30.875000, -116.375000
017, 04, 30.875000, -116.291672
017, 05, 30.958332, -116.291672
018, 01, 31.041668, -116.291672
018, 02, 31.041668, -116.375000
018, 03, 30.958332, -116.375000
018, 04, 30.958332, -116.291672
018, 05, 31.041668, -116.291672
019, 01, 31.125000, -116.291672
019, 02, 31.125000, -116.375000
019, 03, 31.041668, -116.375000
019, 04, 31.041668, -116.291672
019, 05, 31.125000, -116.291672
020, 01, 31.208332, -116.291672
020, 02, 31.208332, -116.375000
020, 03, 31.125000, -116.375000
020, 04, 31.125000, -116.291672
020, 05, 31.208332, -116.291672
021, 01, 31.208332, -116.375000
021, 02, 31.208332, -116.458328
021, 03, 31.125000, -116.458328
021, 04, 31.125000, -116.375000
021, 05, 31.208332, -116.375000
022, 01, 31.291668, -116.375000
022, 02, 31.291668, -116.458328
022, 03, 31.208332, -116.458328
022, 04, 31.208332, -116.375000
022, 05, 31.291668, -116.375000
023, 01, 31.375000, -116.375000
023, 02, 31.375000, -116.458328
023, 03, 31.291668, -116.458328
023, 04, 31.291668, -116.375000
023, 05, 31.375000, -116.375000
024, 01, 31.375000, -116.458328
024, 02, 31.375000, -116.541672
024, 03, 31.291668, -116.541672
024, 04, 31.291668, -116.458328
024, 05, 31.375000, -116.458328
025, 01, 31.458332, -116.458328
025, 02, 31.458332, -116.541672
025, 03, 31.375000, -116.541672
025, 04, 31.375000, -116.458328
025, 05, 31.458332, -116.458328
026, 01, 31.458332, -116.541672
026, 02, 31.458332, -116.625000
026, 03, 31.375000, -116.625000
026, 04, 31.375000, -116.541672
026, 05, 31.458332, -116.541672
027, 01, 31.541668, -116.541672
027, 02, 31.541668, -116.625000
027, 03, 31.458332, -116.625000
027, 04, 31.458332, -116.541672
027, 05, 31.541668, -116.541672
028, 01, 31.541668, -116.625000
028, 02, 31.541668, -116.708328
028, 03, 31.458332, -116.708328
028, 04, 31.458332, -116.625000
028, 05, 31.541668, -116.625000
029, 01, 31.625000, -116.625000
029, 02, 31.625000, -116.708328
029, 03, 31.541668, -116.708328
029, 04, 31.541668, -116.625000
029, 05, 31.625000, -116.625000
030, 01, 31.708332, -116.625000
030, 02, 31.708332, -116.708328
030, 03, 31.625000, -116.708328
030, 04, 31.625000, -116.625000
030, 05, 31.708332, -116.625000
031, 01, 31.791668, -116.625000
031, 02, 31.791668, -116.708328
031, 03, 31.708332, -116.708328
031, 04, 31.708332, -116.625000
031, 05, 31.791668, -116.625000
032, 01, 31.875000, -116.625000
032, 02, 31.875000, -116.708328
032, 03, 31.791668, -116.708328
032, 04, 31.791668, -116.625000
032, 05, 31.875000, -116.625000
033, 01, 31.958332, -116.625000
033, 02, 31.958332, -116.708328
033, 03, 31.875000, -116.708328
033, 04, 31.875000, -116.625000
033, 05, 31.958332, -116.625000
034, 01, 31.958332, -116.708328
034, 02, 31.958332, -116.791672
034, 03, 31.875000, -116.791672
034, 04, 31.875000, -116.708328
034, 05, 31.958332, -116.708328
035, 01, 31.958332, -116.791672
035, 02, 31.958332, -116.875000
035, 03, 31.875000, -116.875000
035, 04, 31.875000, -116.791672
035, 05, 31.958332, -116.791672
036, 01, 32.041664, -116.791672
036, 02, 32.041664, -116.875000
036, 03, 31.958332, -116.875000
036, 04, 31.958332, -116.791672
036, 05, 32.041664, -116.791672
037, 01, 32.041664, -116.875000
037, 02, 32.041664, -116.958328
037, 03, 31.958332, -116.958328
037, 04, 31.958332, -116.875000
037, 05, 32.041664, -116.875000
038, 01, 32.125000, -116.875000
038, 02, 32.125000, -116.958328
038, 03, 32.041664, -116.958328
038, 04, 32.041664, -116.875000
038, 05, 32.125000, -116.875000
039, 01, 32.208336, -116.875000
039, 02, 32.208336, -116.958328
039, 03, 32.125000, -116.958328
039, 04, 32.125000, -116.875000
039, 05, 32.208336, -116.875000
040, 01, 32.291664, -116.875000
040, 02, 32.291664, -116.958328
040, 03, 32.208336, -116.958328
040, 04, 32.208336, -116.875000
040, 05, 32.291664, -116.875000
041, 01, 32.291664, -116.958328
041, 02, 32.291664, -117.041672
041, 03, 32.208336, -117.041672
041, 04, 32.208336, -116.958328
041, 05, 32.291664, -116.958328
042, 01, 32.291664, -117.041672
042, 02, 32.291664, -117.125000
042, 03, 32.208336, -117.125000
042, 04, 32.208336, -117.041672
042, 05, 32.291664, -117.041672
043, 01, 32.375000, -117.041672
043, 02, 32.375000, -117.125000
043, 03, 32.291664, -117.125000
043, 04, 32.291664, -117.041672
043, 05, 32.375000, -117.041672
044, 01, 32.458336, -117.041672
044, 02, 32.458336, -117.125000
044, 03, 32.375000, -117.125000
044, 04, 32.375000, -117.041672
044, 05, 32.458336, -117.041672
045, 01, 32.458336, -117.125000
045, 02, 32.458336, -117.208328
045, 03, 32.375000, -117.208328
045, 04, 32.375000, -117.125000
045, 05, 32.458336, -117.125000
046, 01, 32.541664, -117.125000
046, 02, 32.541664, -117.208328
046, 03, 32.458336, -117.208328
046, 04, 32.458336, -117.125000
046, 05, 32.541664, -117.125000
047, 01, 32.625000, -117.125000
047, 02, 32.625000, -117.208328
047, 03, 32.541664, -117.208328
047, 04, 32.541664, -117.125000
047, 05, 32.625000, -117.125000
048, 01, 32.708336, -117.125000
048, 02, 32.708336, -117.208328
048, 03, 32.625000, -117.208328
048, 04, 32.625000, -117.125000
048, 05, 32.708336, -117.125000
049, 01, 32.708336, -117.208328
049, 02, 32.708336, -117.291672
049, 03, 32.625000, -117.291672
049, 04, 32.625000, -117.208328
049, 05, 32.708336, -117.208328
050, 01, 32.708336, -117.291672
050, 02, 32.708336, -117.375000
050, 03, 32.625000, -117.375000
050, 04, 32.625000, -117.291672
050, 05, 32.708336, -117.291672
051, 01, 32.791664, -117.291672
051, 02, 32.791664, -117.375000
051, 03, 32.708336, -117.375000
051, 04, 32.708336, -117.291672
051, 05, 32.791664, -117.291672
052, 01, 32.875000, -117.291672
052, 02, 32.875000, -117.375000
052, 03, 32.791664, -117.375000
052, 04, 32.791664, -117.291672
052, 05, 32.875000, -117.291672
053, 01, 32.958336, -117.291672
053, 02, 32.958336, -117.375000
053, 03, 32.875000, -117.375000
053, 04, 32.875000, -117.291672
053, 05, 32.958336, -117.291672
054, 01, 33.041664, -117.291672
054, 02, 33.041664, -117.375000
054, 03, 32.958336, -117.375000
054, 04, 32.958336, -117.291672
054, 05, 33.041664, -117.291672
055, 01, 33.125000, -117.291672
055, 02, 33.125000, -117.375000
055, 03, 33.041664, -117.375000
055, 04, 33.041664, -117.291672
055, 05, 33.125000, -117.291672
056, 01, 33.208336, -117.291672
056, 02, 33.208336, -117.375000
056, 03, 33.125000, -117.375000
056, 04, 33.125000, -117.291672
056, 05, 33.208336, -117.291672
057, 01, 33.208336, -117.375000
057, 02, 33.208336, -117.458328
057, 03, 33.125000, -117.458328
057, 04, 33.125000, -117.375000
057, 05, 33.208336, -117.375000
058, 01, 33.291664, -117.375000
058, 02, 33.291664, -117.458328
058, 03, 33.208336, -117.458328
058, 04, 33.208336, -117.375000
058, 05, 33.291664, -117.375000
059, 01, 33.291664, -117.458328
059, 02, 33.291664, -117.541672
059, 03, 33.208336, -117.541672
059, 04, 33.208336, -117.458328
059, 05, 33.291664, -117.458328
060, 01, 33.375000, -117.458328
060, 02, 33.375000, -117.541672
060, 03, 33.291664, -117.541672
060, 04, 33.291664, -117.458328
060, 05, 33.375000, -117.458328
061, 01, 33.375000, -117.541672
061, 02, 33.375000, -117.625000
061, 03, 33.291664, -117.625000
061, 04, 33.291664, -117.541672
061, 05, 33.375000, -117.541672
062, 01, 33.458336, -117.541672
062, 02, 33.458336, -117.625000
062, 03, 33.375000, -117.625000
062, 04, 33.375000, -117.541672
062, 05, 33.458336, -117.541672
063, 01, 33.458336, -117.625000
063, 02, 33.458336, -117.708328
063, 03, 33.375000, -117.708328
063, 04, 33.375000, -117.625000
063, 05, 33.458336, -117.625000
064, 01, 33.541664, -117.625000
064, 02, 33.541664, -117.708328
064, 03, 33.458336, -117.708328
064, 04, 33.458336, -117.625000
064, 05, 33.541664, -117.625000
065, 01, 33.541664, -117.708328
065, 02, 33.541664, -117.791672
065, 03, 33.458336, -117.791672
065, 04, 33.458336, -117.708328
065, 05, 33.541664, -117.708328
066, 01, 33.541664, -117.791672
066, 02, 33.541664, -117.875000
066, 03, 33.458336, -117.875000
066, 04, 33.458336, -117.791672
066, 05, 33.541664, -117.791672
067, 01, 33.541664, -117.875000
067, 02, 33.541664, -117.958328
067, 03, 33.458336, -117.958328
067, 04, 33.458336, -117.875000
067, 05, 33.541664, -117.875000
068, 01, 33.625000, -117.875000
068, 02, 33.625000, -117.958328
068, 03, 33.541664, -117.958328
068, 04, 33.541664, -117.875000
068, 05, 33.625000, -117.875000
069, 01, 33.625000, -117.958328
069, 02, 33.625000, -118.041672
069, 03, 33.541664, -118.041672
069, 04, 33.541664, -117.958328
069, 05, 33.625000, -117.958328
070, 01, 33.708336, -117.958328
070, 02, 33.708336, -118.041672
070, 03, 33.625000, -118.041672
070, 04, 33.625000, -117.958328
070, 05, 33.708336, -117.958328
071, 01, 33.708336, -118.041672
071, 02, 33.708336, -118.125000
071, 03, 33.625000, -118.125000
071, 04, 33.625000, -118.041672
071, 05, 33.708336, -118.041672
072, 01, 33.791664, -118.041672
072, 02, 33.791664, -118.125000
072, 03, 33.708336, -118.125000
072, 04, 33.708336, -118.041672
072, 05, 33.791664, -118.041672
073, 01, 33.791664, -118.125000
073, 02, 33.791664, -118.208328
073, 03, 33.708336, -118.208328
073, 04, 33.708336, -118.125000
073, 05, 33.791664, -118.125000
074, 01, 33.791664, -118.208328
074, 02, 33.791664, -118.291672
074, 03, 33.708336, -118.291672
074, 04, 33.708336, -118.208328
074, 05, 33.791664, -118.208328
075, 01, 33.708336, -118.208328
