cell #, vertex #, lat, lon
001, 01, 30.044763, -115.815168
001, 02, 30.044763, -115.848408
001, 03, 30.007229, -115.848408
001, 04, 30.007229, -115.815168
001, 05, 30.044763, -115.815168
002, 01, 30.082283, -115.815168
002, 02, 30.082283, -115.848408
002, 03, 30.044763, -115.848408
002, 04, 30.044763, -115.815168
002, 05, 30.082283, -115.815168
003, 01, 30.119788, -115.815168
003, 02, 30.119788, -115.848408
003, 03, 30.082283, -115.848408
003, 04, 30.082283, -115.815168
003, 05, 30.119788, -115.815168
004, 01, 30.157280, -115.815168
004, 02, 30.157280, -115.848408
004, 03, 30.119788, -115.848408
004, 04, 30.119788, -115.815168
004, 05, 30.157280, -115.815168
005, 01, 30.194757, -115.815168
005, 02, 30.194757, -115.848408
005, 03, 30.157280, -115.848408
005, 04, 30.157280, -115.815168
005, 05, 30.194757, -115.815168
006, 01, 30.232220, -115.815168
006, 02, 30.232220, -115.848408
006, 03, 30.194757, -115.848408
006, 04, 30.194757, -115.815168
006, 05, 30.232220, -115.815168
007, 01, 30.269668, -115.815168
007, 02, 30.269668, -115.848408
007, 03, 30.232220, -115.848408
007, 04, 30.232220, -115.815168
007, 05, 30.269668, -115.815168
008, 01, 30.307103, -115.815168
008, 02, 30.307103, -115.848408
008, 03, 30.269668, -115.848408
008, 04, 30.269668, -115.815168
008, 05, 30.307103, -115.815168
009, 01, 30.344523, -115.815168
009, 02, 30.344523, -115.848408
009, 03, 30.307103, -115.848408
009, 04, 30.307103, -115.815168
009, 05, 30.344523, -115.815168
010, 01, 30.344523, -115.848408
010, 02, 30.344523, -115.881647
010, 03, 30.307103, -115.881647
010, 04, 30.307103, -115.848408
010, 05, 30.344523, -115.848408
011, 01, 30.381929, -115.848408
011, 02, 30.381929, -115.881647
011, 03, 30.344523, -115.881647
011, 04, 30.344523, -115.848408
011, 05, 30.381929, -115.848408
012, 01, 30.381929, -115.881647
012, 02, 30.381929, -115.914887
012, 03, 30.344523, -115.914887
012, 04, 30.344523, -115.881647
012, 05, 30.381929, -115.881647
013, 01, 30.381929, -115.914887
013, 02, 30.381929, -115.948127
013, 03, 30.344523, -115.948127
013, 04, 30.344523, -115.914887
013, 05, 30.381929, -115.914887
014, 01, 30.381929, -115.948127
014, 02, 30.381929, -115.981366
014, 03, 30.344523, -115.981366
014, 04, 30.344523, -115.948127
014, 05, 30.381929, -115.948127
015, 01, 30.381929, -115.981366
015, 02, 30.381929, -116.014606
015, 03, 30.344523, -116.014606
015, 04, 30.344523, -115.981366
015, 05, 30.381929, -115.981366
016, 01, 30.381929, -116.014606
016, 02, 30.381929, -116.047845
016, 03, 30.344523, -116.047845
016, 04, 30.344523, -116.014606
016, 05, 30.381929, -116.014606
017, 01, 30.419320, -116.014606
017, 02, 30.419320, -116.047845
017, 03, 30.381929, -116.047845
017, 04, 30.381929, -116.014606
017, 05, 30.419320, -116.014606
018, 01, 30.419320, -116.047845
018, 02, 30.419320, -116.081085
018, 03, 30.381929, -116.081085
018, 04, 30.381929, -116.047845
018, 05, 30.419320, -116.047845
019, 01, 30.456697, -116.047845
019, 02, 30.456697, -116.081085
019, 03, 30.419320, -116.081085
019, 04, 30.419320, -116.047845
019, 05, 30.456697, -116.047845
020, 01, 30.494060, -116.047845
020, 02, 30.494060, -116.081085
020, 03, 30.456697, -116.081085
020, 04, 30.456697, -116.047845
020, 05, 30.494060, -116.047845
021, 01, 30.531409, -116.047845
021, 02, 30.531409, -116.081085
021, 03, 30.494060, -116.081085
021, 04, 30.494060, -116.047845
021, 05, 30.531409, -116.047845
022, 01, 30.568743, -116.047845
022, 02, 30.568743, -116.081085
022, 03, 30.531409, -116.081085
022, 04, 30.531409, -116.047845
022, 05, 30.568743, -116.047845
023, 01, 30.606062, -116.047845
023, 02, 30.606062, -116.081085
023, 03, 30.568743, -116.081085
023, 04, 30.568743, -116.047845
023, 05, 30.606062, -116.047845
024, 01, 30.643368, -116.047845
024, 02, 30.643368, -116.081085
024, 03, 30.606062, -116.081085
024, 04, 30.606062, -116.047845
024, 05, 30.643368, -116.047845
025, 01, 30.680659, -116.047845
025, 02, 30.680659, -116.081085
025, 03, 30.643368, -116.081085
025, 04, 30.643368, -116.047845
025, 05, 30.680659, -116.047845
026, 01, 30.717935, -116.047845
026, 02, 30.717935, -116.081085
026, 03, 30.680659, -116.081085
026, 04, 30.680659, -116.047845
026, 05, 30.717935, -116.047845
027, 01, 30.755198, -116.047845
027, 02, 30.755198, -116.081085
027, 03, 30.717935, -116.081085
027, 04, 30.717935, -116.047845
027, 05, 30.755198, -116.047845
028, 01, 30.792445, -116.047845
028, 02, 30.792445, -116.081085
028, 03, 30.755198, -116.081085
028, 04, 30.755198, -116.047845
028, 05, 30.792445, -116.047845
029, 01, 30.792445, -116.081085
029, 02, 30.792445, -116.114325
029, 03, 30.755198, -116.114325
029, 04, 30.755198, -116.081085
029, 05, 30.792445, -116.081085
030, 01, 30.829679, -116.081085
030, 02, 30.829679, -116.114325
030, 03, 30.792445, -116.114325
030, 04, 30.792445, -116.081085
030, 05, 30.829679, -116.081085
031, 01, 30.829679, -116.114325
031, 02, 30.829679, -116.147564
031, 03, 30.792445, -116.147564
031, 04, 30.792445, -116.114325
031, 05, 30.829679, -116.114325
032, 01, 30.829679, -116.147564
032, 02, 30.829679, -116.180804
032, 03, 30.792445, -116.180804
032, 04, 30.792445, -116.147564
032, 05, 30.829679, -116.147564
033, 01, 30.866898, -116.147564
033, 02, 30.866898, -116.180804
033, 03, 30.829679, -116.180804
033, 04, 30.829679, -116.147564
033, 05, 30.866898, -116.147564
034, 01, 30.866898, -116.180804
034, 02, 30.866898, -116.214043
034, 03, 30.829679, -116.214043
034, 04, 30.829679, -116.180804
034, 05, 30.866898, -116.180804
035, 01, 30.904102, -116.180804
035, 02, 30.904102, -116.214043
035, 03, 30.866898, -116.214043
035, 04, 30.866898, -116.180804
035, 05, 30.904102, -116.180804
036, 01, 30.904102, -116.214043
036, 02, 30.904102, -116.247283
036, 03, 30.866898, -116.247283
036, 04, 30.866898, -116.214043
036, 05, 30.904102, -116.214043
037, 01, 30.904102, -116.247283
037, 02, 30.904102, -116.280523
037, 03, 30.866898, -116.280523
037, 04, 30.866898, -116.247283
037, 05, 30.904102, -116.247283
038, 01, 30.941292, -116.247283
038, 02, 30.941292, -116.280523
038, 03, 30.904102, -116.280523
038, 04, 30.904102, -116.247283
038, 05, 30.941292, -116.247283
039, 01, 30.941292, -116.280523
039, 02, 30.941292, -116.313762
039, 03, 30.904102, -116.313762
039, 04, 30.904102, -116.280523
039, 05, 30.941292, -116.280523
040, 01, 30.941292, -116.313762
040, 02, 30.941292, -116.347002
040, 03, 30.904102, -116.347002
040, 04, 30.904102, -116.313762
040, 05, 30.941292, -116.313762
041, 01, 30.941292, -116.347002
041, 02, 30.941292, -116.380241
041, 03, 30.904102, -116.380241
041, 04, 30.904102, -116.347002
041, 05, 30.941292, -116.347002
042, 01, 30.978468, -116.347002
042, 02, 30.978468, -116.380241
042, 03, 30.941292, -116.380241
042, 04, 30.941292, -116.347002
042, 05, 30.978468, -116.347002
043, 01, 31.015629, -116.347002
043, 02, 31.015629, -116.380241
043, 03, 30.978468, -116.380241
043, 04, 30.978468, -116.347002
043, 05, 31.015629, -116.347002
044, 01, 31.052775, -116.347002
044, 02, 31.052775, -116.380241
044, 03, 31.015629, -116.380241
044, 04, 31.015629, -116.347002
044, 05, 31.052775, -116.347002
045, 01, 31.052775, -116.313762
045, 02, 31.052775, -116.347002
045, 03, 31.015629, -116.347002
045, 04, 31.015629, -116.313762
045, 05, 31.052775, -116.313762
046, 01, 31.089907, -116.313762
046, 02, 31.089907, -116.347002
046, 03, 31.052775, -116.347002
046, 04, 31.052775, -116.313762
046, 05, 31.089907, -116.313762
047, 01, 31.127025, -116.313762
047, 02, 31.127025, -116.347002
047, 03, 31.089907, -116.347002
047, 04, 31.089907, -116.313762
047, 05, 31.127025, -116.313762
048, 01, 31.164128, -116.313762
048, 02, 31.164128, -116.347002
048, 03, 31.127025, -116.347002
048, 04, 31.127025, -116.313762
048, 05, 31.164128, -116.313762
049, 01, 31.164128, -116.347002
049, 02, 31.164128, -116.380241
049, 03, 31.127025, -116.380241
049, 04, 31.127025, -116.347002
049, 05, 31.164128, -116.347002
050, 01, 31.201217, -116.347002
050, 02, 31.201217, -116.380241
050, 03, 31.164128, -116.380241
